datetime,dataset,model,lr,batch_size,accuracy,precision,recall,f1
6/6/2026 4:13,colbert_dataset.csv,bert-base-uncased,5.00E-05,16,0.98425,0.980359091,0.9883,0.98431353
6/9/2026 2:12,kaggle_dataset.csv,bert-base-uncased,5.00E-05,16,0.979725701,0.969407266,0.965714286,0.967557252
6/10/2026 7:33,colbert_dataset.csv,roberta-base,5.00E-05,16,0.95155,0.958286816,0.9442,0.951191256
2026-06-10 14:51:45,kaggle_dataset.csv,roberta-base,5e-05,16,0.9850924269528921,0.9807692307692307,0.9714285714285714,0.9760765550239234
